[2026-03-08 15:52:00] epoch = 86, loss: 0.059766, time: 2ms
[2026-03-08 15:52:00] epoch = 87, loss: 0.057826, time: 2ms
[2026-03-08 15:52:00] epoch = 88, loss: 0.057848, time: 2ms
[2026-03-08 15:52:00] epoch = 89, loss: 0.056030, time: 2ms
[2026-03-08 15:52:00] epoch = 90, loss: 0.053498, time: 3ms
[2026-03-08 15:52:00] epoch = 91, loss: 0.059149, time: 2ms
[2026-03-08 15:52:00] epoch = 92, loss: 0.071970, time: 2ms
[2026-03-08 15:52:00] epoch = 93, loss: 0.054069, time: 2ms
[2026-03-08 15:52:00] epoch = 94, loss: 0.057776, time: 3ms
[2026-03-08 15:52:00] epoch = 95, loss: 0.057930, time: 2ms
[2026-03-08 15:52:00] epoch = 96, loss: 0.060629, time: 2ms
[2026-03-08 15:52:00] epoch = 97, loss: 0.060778, time: 2ms
[2026-03-08 15:52:00] epoch = 98, loss: 0.058884, time: 2ms
[2026-03-08 15:52:00] epoch = 99, loss: 0.057918, time: 2ms
